"post_page","post_url","post_date","post_title","date","tags","author","image","file","year","quarter","num"
340,"http://stripsjournal.canalblog.com/archives/2008/09/16/10606390.html","2008-09-16","11 septembre, Bigard dit la vérité - par Charb - Charlie Hebdo n°848 - 17/09/08","2008-09-17","11 septembre;bigard","Charb","http://p5.storage.canalblog.com/54/21/177230/30183429.jpg","2008-09-17 Charlie Hebdo n°848 - 11 septembre, Bigard dit la vérité - par Charb.jpg",2008,"2008_3","848"
340,"http://stripsjournal.canalblog.com/archives/2008/09/10/10606977.html","2008-09-16","Dieu n'existe pas - par Charb - Charlie Hebdo n°847 - 10 septembre 2008","2008-09-10","athées;benoit xvi;pape;religion","Charb","http://p7.storage.canalblog.com/79/87/177230/30185196.jpg","2008-09-10 Charlie Hebdo n°847 - Dieu n'existe pas - par Charb.jpg",2008,"2008_3","847"
340,"http://stripsjournal.canalblog.com/archives/2008/09/03/27315801.html","2013-06-02","I have a dream - Charlie Hebdo N°846 - 3 septembre 2008","2008-09-03","françois hollande;obama;usa;élections","Luz","http://p1.storage.canalblog.com/12/88/177230/87172967_p.jpg","2008-09-03 Charlie Hebdo N°846 - I have a dream.jpg",2008,"2008_3","846"
340,"http://stripsjournal.canalblog.com/archives/2008/05/21/28792188.html","2013-12-30","Indiana Jones et le crâne de cristal - Charlie Hebdo N°831 - 21 mai 2008","2008-05-21","cinéma;ps;ségolène royal;élections","Jul","http://p7.storage.canalblog.com/76/15/177230/92650265.jpg","2008-05-21 Charlie Hebdo N°831 - Indiana Jones et le crâne de cristal.jpg",2008,"2008_3","831"
340,"http://stripsjournal.canalblog.com/archives/2007/10/24/26206939.html","2013-01-20","Bilan du Grenelle de l'environnement - Charlie Hebdo N°801 - 24 octobre 2007","2007-10-24","borloo;environnement;grenelle;écologie","Riss","http://p2.storage.canalblog.com/27/00/177230/83030812_p.jpg","2007-10-24 Charlie Hebdo N°801 - Bilan du Grenelle de l'environnement.jpg",2007,"2008_3","801"
340,"http://stripsjournal.canalblog.com/archives/2006/09/13/22722938.html","2011-11-19","Un médicament contre l'éjaculation précoce - Charlie Hebdo N°743 - 13/09/06","2006-09-13","médicament;sarkozy;sexualité","Jul","http://p8.storage.canalblog.com/88/95/177230/70239514_p.png","2006-09-13 Charlie Hebdo N°743 - Un médicament contre l'éjaculation précoce.png",2006,"2008_3","743"
340,"http://stripsjournal.canalblog.com/archives/2006/06/07/28792254.html","2013-12-30","Lui confierez-vous la bombe ? - Charlie Hebdo N°729 - 7 juin 2006","2006-06-07","nucléaire;présidentielle 2007;ségolène royal;élections","Jul","http://p5.storage.canalblog.com/51/55/177230/92650309.jpg","2006-06-07 Charlie Hebdo N°729 - Lui confierez-vous la bombe ?.jpg",2006,"2008_3","729"
330,"http://stripsjournal.canalblog.com/archives/2008/11/26/11517673.html","2008-11-26","Sarkozy gâté ! - par Catherine - Charlie Hebdo n°858 - 26 novembre 2008","2008-11-26","martine aubry;noël;sarkozy;ségolène royal","Catherine","http://p6.storage.canalblog.com/69/59/177230/32933535.jpg","2008-11-26 Charlie Hebdo n°858 - Sarkozy gâté ! - par Catherine.jpg",2008,"2008_4","858"
330,"http://stripsjournal.canalblog.com/archives/2008/11/19/11428199.html","2008-11-19","PS, le retour de l'ultra-gauche - Charlie Hebdo n°857 - 19 novembre 2008","2008-11-19","ps;ségolène royal","Riss","http://p2.storage.canalblog.com/23/76/177230/32671067.jpg","2008-11-19 Charlie Hebdo n°857 - PS, le retour de l'ultra-gauche.jpg",2008,"2008_4","857"
330,"http://stripsjournal.canalblog.com/archives/2008/11/12/11328654.html","2008-11-12","Ségolène candidate éternelle - Charlie Hebdo n°856 - 12 novembre 2008","2008-11-12","ségolène royal;élections","Riss","http://p2.storage.canalblog.com/23/94/177230/32385100.jpg","2008-11-12 Charlie Hebdo n°856 - Ségolène candidate éternelle.jpg",2008,"2008_4","856"
330,"http://stripsjournal.canalblog.com/archives/2008/11/05/11248613.html","2008-11-05","What else ? ( Obama, élections ) - Charlie Hebdo n°855 - 5 novembre 2008","2008-11-05","bush;obama;usa;élections","Cabu","http://p8.storage.canalblog.com/87/17/177230/32135122.jpg","2008-11-05 Charlie Hebdo n°855 - What else ? ( Obama, élections ).jpg",2008,"2008_4","855"
330,"http://stripsjournal.canalblog.com/archives/2008/10/29/11157632.html","2008-10-29","Rachida, bientôt maman - par Cabu - Charlie Hebdo n°854 - 29 octobre 2008","2008-10-29","dati;prisons;suicide","Cabu","http://p2.storage.canalblog.com/24/67/177230/32135019.jpg","2008-10-29 Charlie Hebdo n°854 - Rachida, bientôt maman - par Cabu.jpg",2008,"2008_4","854"
330,"http://stripsjournal.canalblog.com/archives/2008/10/24/11084701.html","2008-10-24","Sœur Emmanuelle, tous au paradis fiscal - Charlie Hebdo n°853 - 22 octobre 2008","2008-10-22","crise;crise financière 2008;impôts;le cimetière;soeur emmanuelle","Charb","http://p6.storage.canalblog.com/61/75/177230/31641487.jpg","2008-10-22 Charlie Hebdo n°853 - Sœur Emmanuelle, tous au paradis fiscal.jpg",2008,"2008_4","853"
330,"http://stripsjournal.canalblog.com/archives/2008/10/15/10958349.html","2008-10-15","Le nouveau look des banquiers - Charb - Charlie Hebdo n°852 - 15 octobre 2008","2008-10-15","banques;coluche;crise;crise financière 2008","Charb","http://p7.storage.canalblog.com/78/40/177230/31278375.jpg","2008-10-15 Charlie Hebdo n°852 - Le nouveau look des banquiers - Charb.jpg",2008,"2008_4","852"
330,"http://stripsjournal.canalblog.com/archives/2008/10/08/10916759.html","2008-10-11","700 milliards pour Wall Street - par Riss - Charlie Hebdo n°851 - 8 octobre 2008","2008-10-08","bourse;crise;crise financière 2008;usa;wall street","Riss","http://p9.storage.canalblog.com/95/96/177230/31145605.jpg","2008-10-08 Charlie Hebdo n°851 - 700 milliards pour Wall Street - par Riss.jpg",2008,"2008_4","851"
330,"http://stripsjournal.canalblog.com/archives/2008/10/05/10834235.html","2008-10-05","Des renforts pour l'Afghanistan - par Cabu - Charlie Hebdo 850 - 1er octobre 2008","2008-10-01","afghanistan;armée;chômage;guerre","Cabu","http://p2.storage.canalblog.com/20/53/177230/30895596.jpg","2008-10-01 Charlie Hebdo 850 - Des renforts pour l'Afghanistan - par Cabu.jpg",2008,"2008_4","850"
330,"http://stripsjournal.canalblog.com/archives/2008/09/24/10700942.html","2008-09-24","Sauvez les banques - par Riss - Charlie Hebdo n°849 - 24 septembre 2008","2008-09-24","banques;bourse;crise;crise financière 2008;lagarde","Riss","http://p6.storage.canalblog.com/60/21/177230/30482277.jpg","2008-09-24 Charlie Hebdo n°849 - Sauvez les banques - par Riss.jpg",2008,"2008_3","849"
