"tag","theme","nums"
"11 septembre","Terrorisme","848"
"14 juillet","Armée/Police","996"
"2022","Varia","1177"
"absentéisme","Varia","991"
"afghanistan","International","850"
"agriculture","Varia","974;1116"
"ahmadinejad","International","879"
"air france","Capitalisme","885"
"airbus","Capitalisme","885"
"al-qaida","Terrorisme","985"
"alcoolisme","Varia","935"
"algérie","International","971"
"alimentation","Varia","1079"
"allègre","Politique-Gauche","929"
"allemagne","International","1039;1065;1110"
"amende","Varia","884"
"anne sinclair","Showbiz","990;994"
"anniversaire","Varia","881;933"
"antisémitisme","Violence","879;977;1013;1031;1124;1125;1153"
"armée","Armée/Police","850;992;996;1075;1099;1106"
"armes","Varia","1133"
"assassinat","Violence","1031;1032;1062"
"astérix","Varia","1061"
"athées","Religion","847;983"
"attentats","Violence","1118;1188"
"aviation","Varia","885;890"
"avion","Varia","885;890;1154"
"bac","Varia","887;991;1096"
"bachar al-assad","International","1026;1106"
"ballerine","Varia","1005"
"banditisme","Varia","1107;1109"
"banques","Capitalisme","849;852;1013;1044;1102;1179"
"bateau","Varia","1022;1187"
"batman","Varia","1049"
"bayrou","Politique-Droite","886;898"
"belgique","International","1056;1069"
"ben ali","International","976"
"ben laden","Terrorisme","959;985"
"benoit xvi","Religion","847;877;928;962;1041;1070;1078;1080;1081"
"berlusconi","International","1081"
"bernadette chirac","Politique-Droite","1128"
"bernard arnault","Capitalisme","1056"
"bernard tapie","Politique-Gauche","1096;1102"
"besson","Politique-Droite","880;900;906;908;914;921;952"
"bettencourt","Showbiz","942;944;945"
"bible","Religion","983"
"bigard","Showbiz","848"
"bizutage","Varia","1039"
"bnp","Capitalisme","1013"
"bonne année","Varia","915"
"bonus","Capitalisme","895"
"borloo","Politique-Droite","801"
"bourse","Capitalisme","849;851;895;999"
"boutin","Politique-Droite","1092"
"brésil","International","862;873;1101"
"bretagne","France","1116;1117"
"budget","Varia","1140"
"burka","Religion","888;920"
"bush","International","855"
"ça déraille","Varia","1100"
"capitalisme","Capitalisme","876"
"carbone","Varia","899"
"caricature","Varia","1057"
